date,soname,catstore,userdata,dataondisk,dedup
02-01-2025,yfphsor03.kmdc.att.com,test,0,0,0
02-01-2025,yfphsor03.kmdc.att.com,AFP_PROD_DB_COMMON_ALPH332_02_Rep,180.7,159.76,1.1
02-01-2025,yfphsor03.kmdc.att.com,KGM_PROD_FS_YLPD10529,0,0,0
02-01-2025,yfphsor03.kmdc.att.com,KGM_NON_PROD_DB_Common_ylpd10529,302.58,35.32,8.5
02-01-2025,yfphsor03.kmdc.att.com,KGM_PROD_DB_Common_ylpd10529,0,0,0
02-01-2025,yfphsor03.kmdc.att.com,KGM_NonPROD_FS_ylpd10529,0,0,0
02-01-2025,yfphsor04.kmdc.att.com,test,0,0,0
02-01-2025,tfphsor04.dadc.sbc.com,TFP_NonPROD_Linux_FS_tlph101,0,0,0
02-01-2025,tfphsor04.dadc.sbc.com,TFP_NonPROD_Linux_FS_tsprd653,0,0,0
02-01-2025,tfphsor04.dadc.sbc.com,test,0,0,0
02-01-2025,tfphsor04.dadc.sbc.com,TFP_PROD_Windows_FS_tsprd653,0,0,0
02-01-2025,tfphsor04.dadc.sbc.com,TFP_PROD_Linux_FS_tsprd653,0,0,0
02-01-2025,tfphsor04.dadc.sbc.com,TFP_NonPROD_Windows_FS_tsprd653,0,0,0
02-01-2025,tfphsor04.dadc.sbc.com,TFP_Prod_Windows_FS_tsprd540,0,0,0
02-01-2025,tfphsor04.dadc.sbc.com,TFP_NonPROD_Linux_FS_tsprd540,0,0,0
02-01-2025,tfphsor04.dadc.sbc.com,TFP_PROD_Linux_FS_tsprd540,0,0,0
02-01-2025,tfphsor04.dadc.sbc.com,TFP_NonPROD_Windows_FS_tspr540,0,0,0
02-01-2025,tfphsor04.dadc.sbc.com,TFP_PROD_Linux_FS_tlph101,0,0,0
02-01-2025,tfphsor04.dadc.sbc.com,TFP_NonPROD_Windows_FS_tlph101,0,0,0
02-01-2025,tfphsor04.dadc.sbc.com,TFP_PROD_Windows_FS_tlph101,0,0,0
02-01-2025,tfphsor04.dadc.sbc.com,TFP_PROD_DB_Common_tlph101,755.47,248.88,3
02-01-2025,tfphsor04.dadc.sbc.com,TFP_Non_PROD_DB_Common_tlph101,0,0,0
02-01-2025,tfphsor04.dadc.sbc.com,TFP_Non_PROD_FS_tlph101,205.19,10.07,20.3
02-01-2025,tfphsor04.dadc.sbc.com,TFP_PROD_FS_tlph101,329.74,22.26,14.8
02-01-2025,tfphsor04.dadc.sbc.com,TFP_NonPROD_FS_tlpd11266,0,0,0
02-01-2025,tfphsor04.dadc.sbc.com,TFP_PROD_FS_tlpd11266,0,0,0
02-01-2025,tfphsor04.dadc.sbc.com,TFP_PROD_DB_Common_tlpd11266,0,0,0
02-01-2025,tfphsor04.dadc.sbc.com,TFP_NON_PROD_DB_Common_tlpd11266,0,0,0
02-01-2025,tfphsor04.dadc.sbc.com,TFP_Non_PROD_FS_tlph102,141.78,2.08,68.1
02-01-2025,tfphsor04.dadc.sbc.com,TFP_PROD_FS_tlph102,50.58,2.71,18.6
02-01-2025,tfphsor04.dadc.sbc.com,TFP_PROD_DB_Common_tlph102,66.5,8.99,7.3
02-01-2025,tfphsor04.dadc.sbc.com,TFP_Non_PROD_DB_Common_tlph102,0.01,0.01,0.9
02-01-2025,tfphsor04.dadc.sbc.com,TFP_Non_PROD_FS_tsprd540,0,0,0
02-01-2025,tfphsor04.dadc.sbc.com,TFP_PROD_FS_tsprd540,70.55,4.84,14.5
02-01-2025,tfphsor04.dadc.sbc.com,TFP_Non_PROD_DB_Common_tsprd540,0,0,0
02-01-2025,tfphsor04.dadc.sbc.com,TFP_PROD_DB_Common_tsprd540,22.26,3,7.4
02-01-2025,tfphsor04.dadc.sbc.com,TFP_Non_PROD_FS_tsprd653,10.19,0.36,28
02-01-2025,tfphsor04.dadc.sbc.com,TFP_PROD_FS_tsprd653,57.17,5.03,11.3
02-01-2025,tfphsor04.dadc.sbc.com,TFP_NON_PROD_DB_Common_tsprd653,0.14,0.07,2
02-01-2025,tfphsor04.dadc.sbc.com,TFP_PROD_DB_Common_tsprd653,149.76,22.08,6.7
02-01-2025,tfphsor04.dadc.sbc.com,TFP_Non_PROD_FS_tlpd237,0,0,0
02-01-2025,tfphsor04.dadc.sbc.com,TFP_PROD_FS_tlpd237,54.99,3.74,14.6
02-01-2025,tfphsor04.dadc.sbc.com,TFP_NON_PROD_DB_Common_tlpd237,0,0,0
02-01-2025,tfphsor04.dadc.sbc.com,TFP_PROD_DB_Common_tlpd237,11.34,9.44,1.2
02-01-2025,tfphsor04.dadc.sbc.com,TFP_PROD_DB_p1ccr7d6,0.04,0.01,2.8
02-01-2025,tfphsor05.dadc.sbc.com,CFP_t1ccr2d5_Rep,0,0,0
02-01-2025,tfphsor05.dadc.sbc.com,CFP_p1ccr1m2_Rep,0,0,0
02-01-2025,tfphsor05.dadc.sbc.com,CFP_Prod_Windows_FS_csprd246_Rep,0,0,0
02-01-2025,tfphsor05.dadc.sbc.com,CFP_p1ccr7d7_Rep,0,0,0.5
02-01-2025,tfphsor05.dadc.sbc.com,CFP_PROD_Linux_FS_csprd246_Rep,0,0,0
02-01-2025,tfphsor05.dadc.sbc.com,CFP_p1ccr7d8_Rep,0.04,0.04,0.9
02-01-2025,tfphsor05.dadc.sbc.com,CFP_Prod_Windows_FS_csprd370_Rep,0,0,0
02-01-2025,tfphsor05.dadc.sbc.com,CFP_PROD_DB_Common_clph444_Rep,2666.78,594.52,4.4
02-01-2025,tfphsor05.dadc.sbc.com,CFP_PROD_Linux_FS_csprd370_Rep,9.66,0.33,29.3
02-01-2025,tfphsor05.dadc.sbc.com,CFP_PROD_Linux_FS_clph444_Rep,0,0,0
02-01-2025,tfphsor05.dadc.sbc.com,CFP_Prod_Windows_FS_clph444_Rep,0,0,0
02-01-2025,tfphsor05.dadc.sbc.com,CFP_PROD_FS_clph444_Rep,499.57,47,10.6
02-01-2025,tfphsor05.dadc.sbc.com,CFP_PROD_DB_Common_cspr246_Rep,1.28,1.14,1.1
02-01-2025,tfphsor05.dadc.sbc.com,CFP_Prod_FS_csprd246_Rep,0,0,0
02-01-2025,tfphsor05.dadc.sbc.com,CFP_PROD_FS_clph587_Rep,57.29,2.53,22.6
02-01-2025,tfphsor05.dadc.sbc.com,CFP_PROD_DB_Common_clph587_Rep,86.66,12.88,6.7
02-01-2025,tfphsor05.dadc.sbc.com,CFP_Prod_FS_clph444_Rep_cfphsor05,172.35,7.68,22.4
02-01-2025,tfphsor05.dadc.sbc.com,CFP_Prod_dbcommon_clph444_cfphsor05,173.65,44.08,3.9
02-01-2025,tfphsor05.dadc.sbc.com,CFP_Prod_FS_csprd246_Rep_cfphsor05,48.63,4.05,12
02-01-2025,tfphsor05.dadc.sbc.com,CFP_Prod_dbcommon_csprd246_Rep_cfphsor05,6.41,5.4,1.1
02-01-2025,tfphsor05.dadc.sbc.com,p1ccr8d2_target,0,0,0
02-01-2025,cfphsor02.sldc.sbc.com,t1ccr2d5,3.03,0.35,8.5
02-01-2025,cfphsor02.sldc.sbc.com,p1ccr1m2,0,0,0
02-01-2025,cfphsor02.sldc.sbc.com,CFP_PROD_FS_clph587,5,1.08,4.6
02-01-2025,cfphsor02.sldc.sbc.com,CFP_Non_PROD_FS_clph587,494.45,9.48,52.1
02-01-2025,cfphsor02.sldc.sbc.com,CFP_Non_PROD_DB_Common_clph587,0.42,0.19,2.2
02-01-2025,cfphsor02.sldc.sbc.com,CFP_PROD_DB_Common_clph587,14.9,4.57,3.2
02-01-2025,cfphsor02.sldc.sbc.com,CFP_Prod_Windows_FS_csprd370,0,0,0
02-01-2025,cfphsor02.sldc.sbc.com,CFP_NonProd_Windows_FS_csprd370,0,0,0
02-01-2025,cfphsor02.sldc.sbc.com,CFP_PROD_Linux_FS_csprd370,1.71,0.14,12.3
02-01-2025,cfphsor02.sldc.sbc.com,CFP_NonProd_Linux_FS_csprd370,4.19,0.18,22.9
